variable_name,description,dType,Unit,Categories,Unit Example,Ontology Code,URL,Associated Ontology Codes
date,Date,datetime,YYYY-MM-DD,,2023/06/26,NCIT:C25164,http://purl.obolibrary.org/obo/NCIT_C25164,
time (local),Time,datetime,hh:mm:ss,,12:12:12,NCIT:C25207,http://purl.obolibrary.org/obo/NCIT_C25207,EFO:0000721
dob,Birth Date,datetime,YYYY-MM-DD,,2023/06/26,NCIT:C68615,http://purl.obolibrary.org/obo/NCIT_C68615,EFO:0004950
country,Country,string,ISO 3166-1 alpha-3 codes,,ZAF,NCIT:C25464,http://purl.obolibrary.org/obo/NCIT_C25464,"SIO:000664, HANCEstringO:0003"
patient_id,Patient Identifier,string,,,BA112,NCIT:C164337,http://purl.obolibrary.org/obo/NCIT_C164337,NCIT:C16960
age_enrolment,Age-Years,integer,years,,62,NCIT:C37908,http://purl.obolibrary.org/obo/NCIT_C37908,EFO:0000246
sex,Sex,string,categorical,"Male', 'Female', 'integerersex'",Female,NCIT:C28421,http://purl.obolibrary.org/obo/NCIT_C28421,"PATO:0001894, OMIT:0013619"
height,Height,float,cm,,,NCIT:C25347,http://purl.obolibrary.org/obo/NCIT_C25347,EFO:0004339
weight,Body Weight,integer,kg,,52,NCIT:C81328,http://purl.obolibrary.org/obo/NCIT_C81328,"PATO:0000128, SCDO:0000152, EFO:0004338"
bmi,Body Mass Index,integer,kg/m2,,24,NCIT:C16358,http://purl.obolibrary.org/obo/NCIT_C16358,"EFO:0004340, OMIT:0016586, ExO:0000105, CMO:0000105"
substance_abuse,Substance Abuse,string,binary,"yes', 'no'",Yes,NCIT:C18272,http://purl.obolibrary.org/obo/NCIT_C18272,GSSO:006601
smoking_status,Smoking Status,string,binary,"yes', 'no'",Yes,NCIT:C19796,http://purl.obolibrary.org/obo/NCIT_C17934,"ExO:0000113, ECTO:6000029, NCIT:C17934"
alcohol_status,Alcohol Abuse,string,binary,"yes', 'no'",yes,NCIT:C20701,http://purl.obolibrary.org/obo/NCIT_C20701,"MONDO:0002046, SNOMED:15167005"
employment,Employment Status,string,binary,"yes', 'no'",yes,NCIT:C179143,http://purl.obolibrary.org/obo/NCIT_C179143,"OPMI:0000122, EFO:0005241, SDGIO:00010029, SNOMED:224362002, SCDO:0000306"
education_years,Education Level,integer,years,,9,NCIT:C17953,http://purl.obolibrary.org/obo/NCIT_C17953,"GECKO:0000065, OPMI:0000111"
loss_to_follow_up,Lost To Follow-Up,string,binary,"yes', 'no'",yes,NCIT:C70740,http://purl.obolibrary.org/obo/NCIT_C70740,"OMIT:0027493, SNOMED:399307001, NCIT:C48227"
hypertension,Hypertension,string,binary,"yes', 'no'",yes,NCIT:C3117,http://purl.obolibrary.org/obo/NCIT_C3117,"OMIT:0008107, 
HP:0000822"
birth_weight,Birth Weight,integer,g,,2545,NCIT:C76325,http://purl.obolibrary.org/obo/NCIT_C76325,EFO:0004344
stillbirth,Stillbirth,string,binary,"yes', 'no'",yes,NCIT:C49151,http://purl.obolibrary.org/obo/NCIT_C49151,
apgar,Apgar Score,integer,index,,1,NCIT:C73437,http://purl.obolibrary.org/obo/NCIT_C73437,
